No.,Time,,Time 1,Time 2,Delay
1,0,,0,"0,000043",
2,"0,000043",,"0,000043","0,000113",
3,"0,000113",,"0,000113","0,000138",
4,"0,000138",,"0,000138","0,000199",
5,"0,000199",,"0,000199","0,000226",
6,"0,000226",,"0,000226","0,000293",
7,"0,000293",,"0,000293","0,000317",
8,"0,000317",,"0,000317","0,000386",
9,"0,000386",,"0,000386","0,00041",
10,"0,00041",,"0,00041","0,000477",
11,"0,000477",,"0,000477","0,000501",
12,"0,000501",,"0,000501","0,000571",
13,"0,000571",,"0,000571","0,000597",
14,"0,000597",,"0,000597","0,000665",
15,"0,000665",,"0,000665","0,00069",
16,"0,00069",,"0,00069","0,000754",
17,"0,000754",,"0,000754","0,000777",
18,"0,000777",,"0,000777","0,000845",
19,"0,000845",,"0,000845","0,000871",
20,"0,000871",,"0,000871","0,000964",
21,"0,000964",,"0,000964","0,00099",
22,"0,00099",,"0,00099","0,001049",
23,"0,001049",,"0,001049","0,001073",
24,"0,001073",,"0,001073","0,00114",
25,"0,00114",,"0,00114","0,001164",
26,"0,001164",,"0,001164","0,001229",
27,"0,001229",,"0,001229","0,001252",
28,"0,001252",,"0,001252","0,001319",
29,"0,001319",,"0,001319","0,001343",
30,"0,001343",,"0,001343","0,00141",
31,"0,00141",,"0,00141","0,001433",
32,"0,001433",,"0,001433","0,0015",
33,"0,0015",,"0,0015","0,001523",
34,"0,001523",,"0,001523","0,00159",
35,"0,00159",,"0,00159","0,001613",
36,"0,001613",,"0,001613","0,001703",
37,"0,001703",,"0,001703","0,001727",
38,"0,001727",,"0,001727","1,014,222",
39,"1,014,222",,"1,014,222","1,014,265",
40,"1,014,265",,"1,014,265","1,014,338",
41,"1,014,338",,"1,014,338","1,014,365",
42,"1,014,365",,"1,014,365","1,014,434",
43,"1,014,434",,"1,014,434","1,014,457",
44,"1,014,457",,"1,014,457","1,014,526",
45,"1,014,526",,"1,014,526","101,455",
46,"101,455",,"101,455","1,014,617",
47,"1,014,617",,"1,014,617","101,464",
48,"101,464",,"101,464","1,014,709",
49,"1,014,709",,"1,014,709","1,014,732",
50,"1,014,732",,"1,014,732","10,148",
51,"10,148",,"10,148","1,014,823",
52,"1,014,823",,"1,014,823","1,014,892",
53,"1,014,892",,"1,014,892","1,014,916",
54,"1,014,916",,"1,014,916","1,014,987",
55,"1,014,987",,"1,014,987","1,015,014",
56,"1,015,014",,"1,015,014","1,015,077",
57,"1,015,077",,"1,015,077","1,015,101",
58,"1,015,101",,"1,015,101","1,015,162",
59,"1,015,162",,"1,015,162","1,015,186",
60,"1,015,186",,"1,015,186","1,015,255",
61,"1,015,255",,"1,015,255","1,015,281",
62,"1,015,281",,"1,015,281","1,015,345",
63,"1,015,345",,"1,015,345","1,015,369",
64,"1,015,369",,"1,015,369","1,015,436",
65,"1,015,436",,"1,015,436","101,546",
66,"101,546",,"101,546","1,015,527",
67,"1,015,527",,"1,015,527","101,555",
68,"101,555",,"101,555","1,015,616",
69,"1,015,616",,"1,015,616","1,015,639",
70,"1,015,639",,"1,015,639","1,015,709",
71,"1,015,709",,"1,015,709","1,015,735",
72,"1,015,735",,"1,015,735","1,015,801",
73,"1,015,801",,"1,015,801","1,015,825",
74,"1,015,825",,"1,015,825","1,015,892",
75,"1,015,892",,"1,015,892","1,015,917",
76,"1,015,917",,"1,015,917","1,016,011",
77,"1,016,011",,"1,016,011","1,016,039",
78,"1,016,039",,"1,016,039","1,016,106",
79,"1,016,106",,"1,016,106","101,613",
80,"101,613",,"101,613","1,642,327",
81,"1,642,327",,"1,642,327","1,642,371",
82,"1,642,371",,"1,642,371","1,642,578",
83,"1,642,578",,"1,642,578","1,642,604",
84,"1,642,604",,"1,642,604","1,654,121",
85,"1,654,121",,"1,654,121","1,654,155",
86,"1,654,155",,"1,654,155","1,654,338",
87,"1,654,338",,"1,654,338","1,654,366",
88,"1,654,366",,"1,654,366","202,909",
89,"202,909",,"202,909","2,029,133",
90,"2,029,133",,"2,029,133","2,029,224",
91,"2,029,224",,"2,029,224","2,029,252",
92,"2,029,252",,"2,029,252","2,029,312",
93,"2,029,312",,"2,029,312","2,029,336",
94,"2,029,336",,"2,029,336","2,029,405",
95,"2,029,405",,"2,029,405","2,029,429",
96,"2,029,429",,"2,029,429","2,029,497",
97,"2,029,497",,"2,029,497","2,029,521",
98,"2,029,521",,"2,029,521","2,029,588",
99,"2,029,588",,"2,029,588","2,029,615",
100,"2,029,615",,"2,029,615","2,029,684",
101,"2,029,684",,"2,029,684","202,971",
102,"202,971",,"202,971","2,029,774",
103,"2,029,774",,"2,029,774","2,029,798",
104,"2,029,798",,"2,029,798","2,029,859",
105,"2,029,859",,"2,029,859","2,029,883",
106,"2,029,883",,"2,029,883","2,029,951",
107,"2,029,951",,"2,029,951","2,029,976",
108,"2,029,976",,"2,029,976","2,030,065",
109,"2,030,065",,"2,030,065","2,030,095",
110,"2,030,095",,"2,030,095","2,030,163",
111,"2,030,163",,"2,030,163","2,030,188",
112,"2,030,188",,"2,030,188","2,030,257",
113,"2,030,257",,"2,030,257","2,030,281",
114,"2,030,281",,"2,030,281","2,030,345",
115,"2,030,345",,"2,030,345","2,030,369",
116,"2,030,369",,"2,030,369","2,030,437",
117,"2,030,437",,"2,030,437","203,046",
118,"203,046",,"203,046","2,030,527",
119,"2,030,527",,"2,030,527","203,055",
120,"203,055",,"203,055","2,030,614",
121,"2,030,614",,"2,030,614","2,030,637",
122,"2,030,637",,"2,030,637","2,030,705",
123,"2,030,705",,"2,030,705","2,030,728",
124,"2,030,728",,"2,030,728","2,030,792",
125,"2,030,792",,"2,030,792","2,030,816",
126,"2,030,816",,"2,030,816","2,030,881",
127,"2,030,881",,"2,030,881","2,030,904",
128,"2,030,904",,"2,030,904","2,030,971",
129,"2,030,971",,"2,030,971","2,030,995",
130,"2,030,995",,"2,030,995","2,621,227",
131,"2,621,227",,"2,621,227","262,127",
132,"262,127",,"262,127","2,621,525",
133,"2,621,525",,"2,621,525","2,621,554",
134,"2,621,554",,"2,621,554","2,636,595",
135,"2,636,595",,"2,636,595","263,663",
136,"263,663",,"263,663","2,636,839",
137,"2,636,839",,"2,636,839","2,636,866",
138,"2,636,866",,"2,636,866","304,315",
139,"304,315",,"304,315","3,043,193",
140,"3,043,193",,"3,043,193","3,043,265",
141,"3,043,265",,"3,043,265","3,043,291",
142,"3,043,291",,"3,043,291","3,043,359",
143,"3,043,359",,"3,043,359","3,043,383",
144,"3,043,383",,"3,043,383","3,043,451",
145,"3,043,451",,"3,043,451","3,043,474",
146,"3,043,474",,"3,043,474","3,043,619",
147,"3,043,619",,"3,043,619","3,043,647",
148,"3,043,647",,"3,043,647","3,043,707",
149,"3,043,707",,"3,043,707","3,043,731",
150,"3,043,731",,"3,043,731","3,043,799",
151,"3,043,799",,"3,043,799","3,043,823",
152,"3,043,823",,"3,043,823","3,043,876",
153,"3,043,876",,"3,043,876","3,043,901",
154,"3,043,901",,"3,043,901","3,043,959",
155,"3,043,959",,"3,043,959","3,043,983",
156,"3,043,983",,"3,043,983","3,044,052",
157,"3,044,052",,"3,044,052","3,044,076",
158,"3,044,076",,"3,044,076","3,044,143",
159,"3,044,143",,"3,044,143","3,044,166",
160,"3,044,166",,"3,044,166","3,044,232",
161,"3,044,232",,"3,044,232","3,044,256",
162,"3,044,256",,"3,044,256","3,044,325",
163,"3,044,325",,"3,044,325","3,044,351",
164,"3,044,351",,"3,044,351","3,044,423",
165,"3,044,423",,"3,044,423","3,044,446",
166,"3,044,446",,"3,044,446","3,044,531",
167,"3,044,531",,"3,044,531","3,044,555",
168,"3,044,555",,"3,044,555","3,044,624",
169,"3,044,624",,"3,044,624","3,044,648",
170,"3,044,648",,"3,044,648","4,056,211",
171,"4,056,211",,"4,056,211","4,056,252",
172,"4,056,252",,"4,056,252","4,056,325",
173,"4,056,325",,"4,056,325","4,056,355",
174,"4,056,355",,"4,056,355","4,056,424",
175,"4,056,424",,"4,056,424","405,645",
176,"405,645",,"405,645","4,056,525",
177,"4,056,525",,"4,056,525","4,056,551",
178,"4,056,551",,"4,056,551","4,056,612",
179,"4,056,612",,"4,056,612","4,056,637",
180,"4,056,637",,"4,056,637","4,056,719",
181,"4,056,719",,"4,056,719","405,675",
182,"405,675",,"405,675","4,056,837",
183,"4,056,837",,"4,056,837","4,056,863",
184,"4,056,863",,"4,056,863","4,056,934",
185,"4,056,934",,"4,056,934","4,056,958",
186,"4,056,958",,"4,056,958","4,057,026",
187,"4,057,026",,"4,057,026","405,705",
188,"405,705",,"405,705","4,057,142",
189,"4,057,142",,"4,057,142","4,057,167",
190,"4,057,167",,"4,057,167","4,057,236",
191,"4,057,236",,"4,057,236","4,057,262",
192,"4,057,262",,"4,057,262","4,057,327",
193,"4,057,327",,"4,057,327","4,057,351",
194,"4,057,351",,"4,057,351","405,742",
195,"405,742",,"405,742","4,057,444",
196,"4,057,444",,"4,057,444","4,057,511",
197,"4,057,511",,"4,057,511","4,057,535",
198,"4,057,535",,"4,057,535","4,057,599",
199,"4,057,599",,"4,057,599","4,057,623",
200,"4,057,623",,"4,057,623","405,769",
201,"405,769",,"405,769","4,057,713",
202,"4,057,713",,"4,057,713","405,778",
203,"405,778",,"405,778","4,057,802",
204,"4,057,802",,"4,057,802","405,787",
205,"405,787",,"405,787","4,057,893",
206,"4,057,893",,"4,057,893","405,796",
207,"405,796",,"405,796","4,057,983",
208,"4,057,983",,"4,057,983","4,058,049",
209,"4,058,049",,"4,058,049","4,058,074",
210,"4,058,074",,"4,058,074","4,058,153",
211,"4,058,153",,"4,058,153","4,058,179",
212,"4,058,179",,"4,058,179","5,071,243",
213,"5,071,243",,"5,071,243","5,071,287",
214,"5,071,287",,"5,071,287","5,071,345",
215,"5,071,345",,"5,071,345","5,071,361",
216,"5,071,361",,"5,071,361","5,071,399",
217,"5,071,399",,"5,071,399","5,071,412",
218,"5,071,412",,"5,071,412","5,071,449",
219,"5,071,449",,"5,071,449","5,071,461",
220,"5,071,461",,"5,071,461","5,071,497",
221,"5,071,497",,"5,071,497","5,071,509",
222,"5,071,509",,"5,071,509","507,154",
223,"507,154",,"507,154","5,071,553",
224,"5,071,553",,"5,071,553","5,071,589",
225,"5,071,589",,"5,071,589","5,071,601",
226,"5,071,601",,"5,071,601","5,071,636",
227,"5,071,636",,"5,071,636","5,071,648",
228,"5,071,648",,"5,071,648","5,071,688",
229,"5,071,688",,"5,071,688","5,071,703",
